"x-el","x-el 2","x-el 3","x-el src","x-el 4","x-el 5","x-el 6","x-el 7","x-el 8","x-el 14","x-el 15","x-el href","x-el 16","x-el 17","x-el 18"
"COIN MINI SURFACE LIGHT","ALPHA MINI SURFACE LIGHT","ALPHA MINI SURFACE LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-cc94991.png/:/cr=t:0.51%25,l:0%25,w:100%25,h:87.92%25/rs=w:388,h:291.72932330827064,cg:true","Watt |  Size (mm) |  Std.Pkg","3W         60x15           100","","CCT & Colors: 3000K/4000K/6500K","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"ALEXA LED SURFACE LIGHT","ALPHA MINI SURFACE LIGHT","ALEXA LED SURFACE LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-e26588b.png/:/cr=t:8.14%25,l:17.19%25,w:78.37%25,h:84.75%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) |  Std.Pkg","5W         64x18           100","CCT & Colors: 3000K/4000K/6500K","Yellow, Blue, Green, Pink, Red, 3in1","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"TWIST LED SURFACE LIGHT","ALEXA LED SURFACE LIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-5a87ddf.png/:/cr=t:15.46%25,l:10.71%25,w:89.29%25,h:76.12%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |  Size (mm) |  Std.Pkg","7W         85x50             50","15W       140x50           40","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K","9W         115x50           40","Yellow, Blue, Green, Pink, Red, 3in1"
"ZERO EDGE LED SURFACE LIGHT","POWER LED MINI SURFACE LIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-64b181f.png/:/cr=t:20.15%25,l:15.25%25,w:84.75%25,h:61.95%25/rs=w:388,h:194,cg:true,m","Watt |  Size (mm) |  Std.Pkg","8W         85x50             50","22W       140x50           40","","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K / 3in1","15W       115x50           40",""
"POWER LED MINI SURFACE LIGHT","POWER LED MINI SURFACE LIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-85e69c2.png/:/cr=t:28.14%25,l:20.72%25,w:73.53%25,h:53.75%25/rs=w:388,h:194,cg:true,m","Watt |  Size (mm) |  Std.Pkg","3W        65x25h           100","","CCT & Colors: 3000K/4000K/6500K / 3in1","Features","Premium LED Surface Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"PRO SERIES TRACK LIGHT","PRO SERIES WALL SPOTLIGHT","PRO SERIES TRACK LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-89ff65f.png/:/cr=t:12.46%25,l:0%25,w:100%25,h:75.07%25/rs=w:388,h:291.72932330827064,cg:true","Watt |     Size (mm)       |  Std.Pkg","10W       118x144x64             30","30W       158x172x88             20","","Features","Premium LED Track Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","20W       138x162x79             20","CCT & Colors: 3000K/4000K/6500K"
"PILOT TRACK LIGHT","PRO SERIES WALL SPOTLIGHT","PRO SERIES TRACK LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/PILOT.jpg/:/cr=t:14.82%25,l:12.76%25,w:73.53%25,h:68.3%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |     Size (mm)       |  Std.Pkg","10W       118x144x64             30","30W       158x172x88             20","","Features","Premium LED Track Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","20W       138x162x79             20","CCT & Colors: 3000K/4000K/6500K"
"PRO SERIES WALL SPOTLIGHT","PRO SERIES WALL SPOTLIGHT","ZOOM SERIES WALL SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-44188f0.png/:/cr=t:20.35%25,l:16.9%25,w:76.92%25,h:57.75%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt |     Size (mm)      |  Std.Pkg","10W       118x144x64           30","30W       158x172x88           20","","Features","Premium LED Wall spotlight","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","20W       138x162x79           20","CCT & Colors: 3000K/4000K/6500K"
"ZOOM SERIES WALL SPOTLIGHT","FOCUS SERIES WALL SPOTLIGHT","ZOOM SERIES WALL SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ff2a8c2.png/:/cr=t:16.16%25,l:0%25,w:100%25,h:75.54%25/rs=w:388,h:291.72932330827064,cg:true","Watt |  Size (mm) |  Std.Pkg","3W          71x105           50","16W       101x128          50","24W       115x138          10","Features","Premium LED Wall spotlight","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","30W       125x148          10","6W          94x115           50",""
"FOCUS SERIES WALL SPOTLIGHT","FOCUS SERIES WALL SPOTLIGHT","FOCUS SERIES WALL SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-1fbfe7f.png/:/cr=t:0%25,l:10.69%25,w:89.31%25,h:100%25/rs=w:388,h:291.72932330827064,cg:true","Watt |  Size (mm) |  Std.Pkg","6W         55x115           50","","","Features","Premium LED Wall spotlight","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","CCT & Colors: 3000K/4000K/6500K /3in1","",""
"SIGNATURE TRACK LIGHT","FOCUS SERIES WALL SPOTLIGHT","FOCUS SERIES WALL SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/signature.png/:/cr=t:0%25,l:8.61%25,w:82.78%25,h:100%25/rs=w:388,h:291.72932330827064,cg:true","Watt |  Size (mm) |  Std.Pkg","10W         192x46       50","","","Features","Premium LED Track Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","20W          384x46      50","CCT & Colors: 3000K/4000K/6500K"
"LED MIRROR LIGHT","UNICORN LED MIRROR LIGHT","CURVE LED MIRROR LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-698f9ce.png/:/cr=t:13.24%25,l:30.45%25,w:31.71%25,h:73.54%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","12W         311x172             20","CCT & Colors: 3000K/6500K","Blue, Green, Red, Pink ,Blue, 3in1","Features","Premium LED Mirror Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"CURVE LED MIRROR LIGHT","UNICORN LED MIRROR LIGHT","CURVE LED MIRROR LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/69.png/:/cr=t:13.99%25,l:0%25,w:100%25,h:72.02%25/rs=w:388,h:291.72932330827064,cg:true","Watt   |   Size (mm)     |  Std.Pkg","6W           75x85x40              20","","CCT & Colors: 3000K/4000K/6500K","Features","Premium LED Mirror Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","Blue, Green, Red, Pink ,Blue, 3in1","12W         500x51x107          20",""
"UNICORN LED MIRROR LIGHT","UNICORN LED MIRROR LIGHT","UNICORN LED MIRROR LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-508848c.png/:/cr=t:14.32%25,l:40.61%25,w:20.6%25,h:73.53%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","6W            325x185            20","CCT & Colors: 3000K/6500K,3in1","","Features","Premium LED Mirror Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"MILAN LED MIRROR LIGHT","PROMAX LED MIRROR LIGHT","UNICORN LED MIRROR LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-fc6b847.png/:/cr=t:24.67%25,l:41.61%25,w:9.44%25,h:49.5%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","6W            325x185            20","CCT & Colors: 3000K/6500K,3in1","","Features","Premium LED Mirror Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"PROMAX LED MIRROR LIGHT","PROMAX LED MIRROR LIGHT","PROMAX LED MIRROR LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ddbca3a.png/:/cr=t:12.75%25,l:20.76%25,w:64.06%25,h:70.42%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","12W           335x107          20","CCT & Colors: 3000K/6500K,3in1","","Features","Premium LED Mirror Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"SMART LINE NEXT LED BATTEN","ULTRA SLIM LED LINEAR LIGHT","SMART LINE NEXT LED BATTEN","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/tube%20lightt.png/:/cr=t:26%25,l:25.25%25,w:49.5%25,h:48%25/rs=w:388,h:194,cg:true,m","Watt |     Size (Ft)       |  Std.Pkg","22W          4 Feet                 50","CCT & Colors: 3000K/4000K/6500K","Yellow, Blue, Green, Pink, 3in1, Tiranga","Features","Premium LED Batten Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","https://www.amazon.in/Multtifab-LED-Bedroom-Tubelight-TIRANGA/dp/B0CT5JV247/ref=sr_1_1?crid=21ZYQO40X053O&keywords=SMART%2BLINE%2BNEXT&qid=1706340189&sprefix=smart%2Bline%2Bnext%2Caps%2C214&sr=8-1&th=1","",""
"SMART LINE NEXT LED BATTEN","ULTRA SLIM LED LINEAR LIGHT","SMART LINE NEXT LED BATTEN","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/BLUE.jpg/:/cr=t:32.1%25,l:13.3%25,w:62.5%25,h:47.18%25/rs=w:388,h:194,cg:true,m","Watt |     Size (Ft)     |  Std.Pkg","40W          4 Feet                 30","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Batten Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","https://www.amazon.in/Multtifab-LED-Batten-Bedroom-Tubelight/dp/B0CT5ZGL5S/ref=sr_1_2?crid=21ZYQO40X053O&keywords=SMART%2BLINE%2BNEXT&qid=1706340189&sprefix=smart%2Bline%2Bnext%2Caps%2C214&sr=8-2&th=1","",""
"ULTRA SLIM LED LINEAR LIGHT","ULTRA SLIM LED LINEAR LIGHT","ULTRA SLIM LED LINEAR LIGHT(SENSOR)","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/15-f346e82.png/:/cr=t:16.65%25,l:0%25,w:100%25,h:75.47%25/rs=w:388,h:194,cg:true","Watt |     Size (Ft)       |  Std.Pkg","4W            1 Feet               100","12W          3 Feet                60","12W          4 Feet                40","Features","Premium LED Linear Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","8W            2 Feet               100","CCT & Colors: 3000K/4000K/6500K"
"ULTRA SLIM LED LINEAR LIGHT(SENSOR)","ULTRA SLIM LED LINEAR LIGHT(SENSOR)","ULTRA SLIM LED LINEAR LIGHT(SENSOR)","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/ULTRA%20SLIM.png/:/cr=t:22.21%25,l:0%25,w:100%25,h:55.58%25/rs=w:388,h:194,cg:true","Watt |     Size (Ft)       |  Std.Pkg","4W            1 Feet               100","12W          3 Feet                60","12W          4 Feet                40","Features","Premium LED Linear Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","8W            2 Feet               100","CCT & Colors: 3000K/4000K/6500K"
"NETRIS LED LINEAR LIGHT","ULTRA SLIM LED LINEAR LIGHT(SENSOR)","NETRIS LED LINEAR LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-0ed038c.png/:/cr=t:26.38%25,l:0%25,w:100%25,h:41.3%25/rs=w:388,h:194,cg:true","Watt |     Size (Ft)","44W        4 Feet","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Linear Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
"NETRIS LED LINEAR LIGHT","ULTRA SLIM LED LINEAR LIGHT(SENSOR)","NETRIS LED LINEAR LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-c19a3c0.png/:/cr=t:10.65%25,l:0%25,w:100%25,h:57.65%25/rs=w:388,h:194,cg:true","Watt |     Size (Ft)","44W         4 Feet","CCT & Colors: 3000K/4000K/6500K","","Features","Premium LED Linear Light","SEND AN ENQUIRY","mailto:sales@multtifabled.co.in","","",""
